addtive_cid,addtive_name,addtive_smiles
10340,disodium;carbonate,C(=O)([O-])[O-].[Na+].[Na+]
3301,"ethane-1,2-diamine",C(CN)N
8007,butan-1-amine,CCCCN
14923,azanium;hydroxide,[NH4+].[OH-]
14798,sodium;hydroxide,[OH-].[Na+]
944,nitric acid,[N+](=O)(O)[O-]
176,acetic acid,CC(=O)O
243,benzoic acid,C1=CC=C(C=C1)C(=O)O
949,"N,N-dimethylaniline",CN(C)C1=CC=CC=C1
28118,hydron;tetrafluoroborate,[H+].[B-](F)(F)(F)F
313,chlorane,Cl
428,"propane-1,3-diamine",C(CN)CN
8471,"N,N-diethylethanamine",CCN(CC)CC
6115,aniline,C1=CC=C(C=C1)N
284,formic acid,C(=O)O
14797,potassium;hydroxide,[OH-].[K+]
311,"2-hydroxypropane-1,2,3-tricarboxylic acid",C(C(=O)O)C(CC(=O)O)(C(=O)O)O
174,"ethane-1,2-diol",C(CO)O
60966,tetramethylazanium;hydroxide,C[N+](C)(C)C.[OH-]
3084169,dihydroxy(oxo)phosphanium,O[P+](=O)O
1004,phosphoric acid,OP(=O)(O)O
222,azane,N
6125,disodium;oxalate,C(=O)(C(=O)[O-])[O-].[Na+].[Na+]
1049,pyridine,C1=CC=NC=C1
