solvent_cid,solvent_name,solvent_smiles
962,oxidane,O
5125,1-bis(butylsulfanyl)phosphorylsulfanylbutane,CCCCSP(=O)(SCCCC)SCCCC
31275,"1,4-dioxane",C1COCCO1
174,"ethane-1,2-diol",C(CO)O
241,benzene,C1=CC=CC=C1
1045,"butane-1,4-diamine",C(CCN)CN
31254,N-methylformamide,CNC=O
887,methanol,CO
1049,pyridine,C1=CC=NC=C1
12051,"N,N-diethylformamide",CCN(CC)C=O
263,butan-1-ol,CCCCO
6344,dichloromethane,C(Cl)Cl
13387,1-methylpyrrolidin-2-one,CN1CCCC1=O
3283,ethoxyethane,CCOCC
15413,2-methoxy-2-methylpropane,CC(C)(C)OC
180,propan-2-one,CC(=O)C
6212,chloroform,C(Cl)(Cl)Cl
949,"N,N-dimethylaniline",CN(C)C1=CC=CC=C1
8028,oxolane,C1CCOC1
7914,2-propan-2-yloxypropane,CC(C)OC(C)C
8857,ethyl acetate,CCOC(=O)C
702,ethanol,CCO
6342,acetonitrile,CC#N
8071,"1,2-dimethoxyethane",COCCOC
11,"1,2-dichloroethane",C(CCl)Cl
6228,"N,N-dimethylformamide",CN(C)C=O
679,methylsulfinylmethane,CS(=O)C
12025,pyrrolidin-2-one,C1CC(=O)NC1
31374,"N,N-dimethylacetamide",CC(=O)N(C)C
7966,cyclohexanol,C1CCC(CC1)O
6409,"2,2,2-trifluoroethanol",C(C(F)(F)F)O
