filename,DISORDER,core_All_Metals,core_Open_Metal_Sites,temperature_Celsius,time_h,Yield_Percent,metal_ele1,metal_os1,counterions1,metal_ele2,metal_os2,counterions2,metal_ele3,metal_os3,counterions3,metal_ele4,metal_os4,counterions4,metal_ele5,metal_os5,counterions5,solvent1,sol_molratio1,solvent2,sol_molratio2,solvent3,sol_molratio3,solvent4,sol_molratio4,solvent5,sol_molratio5,additive1,additive2,additive3,additive4,additive5,other1,other2,other3,other4,other5,other6,other7,other8
OFODET_clean,,Mn,Mn,55,48,73,Mn,2.0,Cl,,,,,,,,,,,,,6228,0.532,174.0,0.184,962.0,0.284,,,,,313.0,,,,,,,,,,,,
XAVKIR_clean,,Cu,Cu,55,120,∼50.6,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.539,962.0,0.461,,,,,,,313.0,,,,,,,,,,,,
LATPIG_clean,,Zn, ,160,72,68,Zn,2.0,F,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
MOYYIJ_clean,,Cu,Cu,60,48,80,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.556,962.0,0.339,702.0,0.105,,,,,,,,,,,,,,,,,
OFOCUI_clean,,Cu,Cu,60,48,61,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.377,702.0,0.3,962.0,0.323,,,,,944.0,,,,,,,,,,,,
ALATAK_clean,,Ca,Ca,60,72,,Ca,2.0,CO3,,,,,,,,,,,,,962,1.0,,,,,,,,,,,,,,,,,,,,,
RUFZID_clean,,Cu,Cu,60,72,,Cu,2.0,NO3,,,,,,,,,,,,,6228,0.139,887.0,0.265,962.0,0.596,,,,,,,,,,,,,,,,,
OPENUT_clean,,Eu,Eu,60,96,42,Eu,3.0,NO3,,,,,,,,,,,,,6228,0.319,962.0,0.681,,,,,,,,,,,,,,,,,,,
INOVEN_clean,,Gd,Gd,60,168,45,Gd,3.0,NO3,,,,,,,,,,,,,702,0.515,6228.0,0.485,,,,,,,,,,,,,,,,,,,
YEMJAC_clean,,Dy, ,60,168,76,Dy,3.0,NO3,,,,,,,,,,,,,6228,0.79,702.0,0.21,,,,,,,944.0,8148.0,,,,,,,,,,,
